Method,Accuracy,Precision,Recall,F1,ROC-AUC
Frequency-only,0.5,0.40625,0.9285714285714286,0.5652173913043478,0.782967032967033
Borda-only,0.95,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9862637362637363
Garrett-only,0.95,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.989010989010989
Borda+Garrett,0.95,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.989010989010989
Borda+Garrett+RL,0.95,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9917582417582417
